id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Vi tích phân 1B,1,1,Đại cương,1
2,Thực hành Vi tích phân 1B,1,1,Đại cương,1
3,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
4,Nhập môn kỹ thuật,1,1,Đại cương,1
5,Thể dục 1,1,2,Đại cương,1
6,Hóa đại cương 1,1,1,Đại cương,2
7,Vi tích phân 2B,1,1,Đại cương,2
8,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
9,Kỹ thuật lập trình,1,1,Cơ sở ngành,2
10,Đại số tuyến tính,1,1,Đại cương,3
11,Điện tử cơ bản,1,1,Cơ sở ngành,3
12,Thực hành Vật lý đại cương,1,1,Đại cương,3
13,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),1,1,Đại cương,3
14,Thể dục 2,1,2,Đại cương,3
15,Giáo dục quốc phòng – An ninh,1,2,Đại cương,3
16,Vật lý chất rắn,2,1,Cơ sở ngành,1
17,Xác suất thống kê,2,1,Đại cương,1
18,Triết học Mác - Lênin,2,1,Đại cương,1
19,Cơ lượng tử 1,2,1,Cơ sở ngành,1
20,Khoa học trái đất ,2,0,Đại cương,1
21,Môi trường đại cương ,2,0,Đại cương,1
22,Giới thiệu về biến đổi khí hậu và phát triển bền vững,2,0,Đại cương,1
23,Kinh tế chính trị Mác - Lênin,2,1,Đại cương,2
24,Kinh tế đại cương,2,0,Đại cương,2
25,Tâm lý đại cương ,2,0,Đại cương,2
26,Phương pháp luận sáng tạo,2,0,Đại cương,2
27,Lập trình hướng đối tượng,2,1,Cơ sở ngành,2
28,Cơ sở linh kiện bán dẫn,2,1,Cơ sở ngành,2
29,Lập trình python,2,1,Cơ sở ngành,2
30,Phân tích mạch,2,1,Cơ sở ngành,3
31,Cảm biến và kỹ thuật đo lường,2,1,Cơ sở ngành,3
32,Máy học và ứng dụng,2,1,Cơ sở ngành,3
33,Công nghệ chế tạo màng mỏng,3,1,Kỹ thuật vật lý linh kiện,1
34,Kỹ thuật phân tích vật liệu,3,1,Kỹ thuật vật lý linh kiện,1
35,Cơ sở Công nghệ bán dẫn,3,1,Kỹ thuật vật lý linh kiện,1
36,Từ học - linh kiện spintronic,3,1,Kỹ thuật vật lý linh kiện,2
